time,gFx,gFy,gFz,gFTotal
0.012771368026733398,-0.1540679931640625,-0.0867156982421875,-0.9983367919921875,1.014
0.016950368881225586,-0.1645660400390625,-0.0833282470703125,-0.9934844970703125,1.01
0.028336286544799805,-0.1737518310546875,-0.0820159912109375,-0.9877166748046875,1.006
0.0493931770324707,-0.1783599853515625,-0.0859832763671875,-0.9830474853515625,1.003
0.04985928535461426,-0.1783599853515625,-0.0859832763671875,-0.9830474853515625,1.003
0.056318044662475586,-0.1731414794921875,-0.087646484375,-0.984405517578125,1.003
0.0663461685180664,-0.1643218994140625,-0.089019775390625,-0.988372802734375,1.006
0.07653617858886719,-0.155029296875,-0.090850830078125,-0.9912261962890625,1.007
0.08700108528137207,-0.146453857421875,-0.091461181640625,-0.9937896728515625,1.009
0.09688735008239746,-0.1419677734375,-0.0924072265625,-0.9942779541015625,1.009
0.10741209983825684,-0.142242431640625,-0.0913238525390625,-0.9935760498046875,1.008
0.11699318885803223,-0.144744873046875,-0.0902557373046875,-0.99224853515625,1.007
0.13070917129516602,-0.1516571044921875,-0.0900421142578125,-0.992279052734375,1.008
0.14934325218200684,-0.1627655029296875,-0.0882415771484375,-0.9931182861328125,1.01
0.14980006217956543,-0.1627655029296875,-0.0882415771484375,-0.9931182861328125,1.01
0.15673327445983887,-0.1661376953125,-0.0878753662109375,-0.992950439453125,1.011
0.16862130165100098,-0.166595458984375,-0.089385986328125,-0.992034912109375,1.01
0.17754912376403809,-0.163787841796875,-0.0889129638671875,-0.9933624267578125,1.011
0.18770718574523926,-0.16162109375,-0.0900115966796875,-0.99200439453125,1.009
0.19764208793640137,-0.156951904296875,-0.0920257568359375,-0.9928741455078125,1.009
0.20804238319396973,-0.1541595458984375,-0.0925140380859375,-0.993621826171875,1.01
0.22002434730529785,-0.152313232421875,-0.09503173828125,-0.99365234375,1.01
0.23109126091003418,-0.15118408203125,-0.09710693359375,-0.99365234375,1.01
0.24688720703125,-0.1535186767578125,-0.09521484375,-0.9937286376953125,1.01
0.24759721755981445,-0.1535186767578125,-0.09521484375,-0.9937286376953125,1.01
0.2582433223724365,-0.154022216796875,-0.09246826171875,-0.9952850341796875,1.011
0.2689063549041748,-0.1547088623046875,-0.0905609130859375,-0.9931640625,1.009
0.2784383296966553,-0.1546630859375,-0.0895233154296875,-0.9858856201171875,1.002
0.28814125061035156,-0.1560821533203125,-0.087921142578125,-0.985809326171875,1.002
