time,gFx,gFy,gFz,gFTotal
0.00673985481262207,0.00360107421875,-0.0372467041015625,-0.9877777099609375,0.988
0.015356063842773438,0.0085601806640625,-0.039154052734375,-0.9840087890625,0.985
0.02854609489440918,0.0117645263671875,-0.040740966796875,-0.986297607421875,0.987
0.0502169132232666,0.0176239013671875,-0.042510986328125,-1.0004425048828125,1.002
0.05067610740661621,0.0176239013671875,-0.042510986328125,-1.0004425048828125,1.002
0.05444502830505371,0.0185394287109375,-0.04290771484375,-1.007232666015625,1.008
0.06457209587097168,0.017608642578125,-0.0398406982421875,-1.001434326171875,1.002
0.0752420425415039,0.01397705078125,-0.03759765625,-0.991912841796875,0.993
0.0855720043182373,0.0106201171875,-0.038787841796875,-0.9935455322265625,0.994
0.09519004821777344,0.0106658935546875,-0.0408782958984375,-0.9968414306640625,0.998
0.10526585578918457,0.01153564453125,-0.0395660400390625,-0.996124267578125,0.997
0.1152961254119873,0.0098724365234375,-0.038909912109375,-0.9921722412109375,0.993
0.12936711311340332,0.008453369140625,-0.0308074951171875,-1.0124359130859375,1.013
0.15138006210327148,0.0095367431640625,-0.0377655029296875,-0.9889068603515625,0.99
0.15182709693908691,0.0095367431640625,-0.0377655029296875,-0.9889068603515625,0.99
0.15411591529846191,0.0048675537109375,-0.0410003662109375,-0.9711151123046875,0.972
0.16480803489685059,0.0064544677734375,-0.042144775390625,-0.989013671875,0.99
0.17476606369018555,0.0095672607421875,-0.041168212890625,-1.0121002197265625,1.013
0.1856849193572998,0.0089569091796875,-0.0397491455078125,-1.012451171875,1.013
0.19495296478271484,0.0076751708984375,-0.037384033203125,-0.9990081787109375,1.0
0.204833984375,0.007080078125,-0.039306640625,-0.99658203125,0.997
0.2151181697845459,0.008941650390625,-0.04180908203125,-0.9925994873046875,0.994
0.22918915748596191,0.0133056640625,-0.039764404296875,-0.991455078125,0.992
0.23482203483581543,0.0153961181640625,-0.0369110107421875,-0.9945068359375,0.995
0.25288987159729004,0.0166473388671875,-0.036407470703125,-0.9967041015625,0.998
0.2545011043548584,0.0151214599609375,-0.03704833984375,-0.9976806640625,0.998
0.26376891136169434,0.0129852294921875,-0.0395965576171875,-0.9965667724609375,0.997
0.2741081714630127,0.0089569091796875,-0.041107177734375,-0.9958953857421875,0.997
0.2839548587799072,0.007049560546875,-0.040313720703125,-0.9939422607421875,0.995
0.2946350574493408,0.00775146484375,-0.0380401611328125,-0.99163818359375,0.992
0.3042771816253662,0.0103759765625,-0.0361328125,-0.9900665283203125,0.991
0.3142821788787842,0.011199951171875,-0.03564453125,-0.99346923828125,0.994
0.327678918838501,0.0117034912109375,-0.035736083984375,-1.0010223388671875,1.002
0.33379507064819336,0.01190185546875,-0.036285400390625,-0.9991912841796875,1.0
